Ic102	Ib102	Ia102	Ic101	Ib101	Io346	Ia101	Ic346	Ib346	Ia346	Io345	Ic345	Ib345	Io344	Ia345	Ic344	Ib344	Ia344	Io343	Ic343	Ib343	Io342	Ia343	Ic342	Ib342	Ia342	Io341	Ic341	Ib341	Io324	Ia341	Ic324	Ib324	Ia324	Io323	Ic323	Ib323	Io322	Ia323	Ic322	Ib322	Ia322	Io321	Ic321	Ib321	Ia321	Io312	Ic312	Ib312	Ia312	Io302	Ic302	Ib302	Ia302	Ec32	Eb32	Ea32	Io301	Ic301	Ib301	Ia301	Ec31	Eb31	Ea31	I1020	Ic182	Ib182	Ia182	Ec12	Eb12	Ea12	I1010	Ic181	Ib181	Ia181	Ec11	Eb11	Ea11
0.0007 	-0.0014 	0.0007 	0.0011 	-0.0020 	0.0000 	0.0010 	0.0001 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0003 	0.0005 	-0.0003 	0.0000 	0.0000 	0.0000 	0.0000 	15.7147 	-31.4053 	15.6906 	0.0000 	0.0006 	-0.0011 	0.0005 	15.7147 	-31.4053 	15.6906 	0.0000 	0.0007 	-0.0007 	0.0000 	77.7620 	-77.7519 	-0.0101 	0.0000 	0.0010 	-0.0010 	0.0000 	77.7631 	-77.7484 	-0.0146 
0.0008 	-0.0022 	0.0013 	0.0011 	-0.0028 	0.0000 	0.0018 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0002 	0.0006 	-0.0004 	0.0000 	0.0000 	0.0000 	0.0000 	10.1079 	-30.8041 	20.6962 	0.0000 	0.0004 	-0.0011 	0.0007 	10.1079 	-30.8041 	20.6962 	0.0000 	0.0010 	-0.0012 	0.0002 	67.5113 	-85.0178 	17.5065 	0.0000 	0.0013 	-0.0015 	0.0002 	67.5133 	-85.0150 	17.5017 
0.0007 	-0.0028 	0.0021 	0.0009 	-0.0035 	0.0000 	0.0026 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0006 	-0.0005 	0.0000 	0.0000 	0.0000 	0.0000 	4.1127 	-29.0191 	24.9064 	0.0000 	0.0002 	-0.0011 	0.0009 	4.1127 	-29.0191 	24.9064 	0.0000 	0.0012 	-0.0016 	0.0005 	54.6662 	-89.0165 	34.3503 	0.0000 	0.0015 	-0.0021 	0.0006 	54.6690 	-89.0146 	34.3456 
0.0005 	-0.0034 	0.0029 	0.0005 	-0.0041 	0.0000 	0.0036 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0005 	-0.0005 	0.0000 	0.0000 	0.0000 	0.0000 	-2.0404 	-26.1189 	28.1593 	0.0000 	0.0000 	-0.0011 	0.0011 	-2.0404 	-26.1189 	28.1593 	0.0000 	0.0013 	-0.0021 	0.0008 	39.7204 	-89.5944 	49.8740 	0.0000 	0.0015 	-0.0025 	0.0010 	39.7238 	-89.5933 	49.8695 
0.0001 	-0.0039 	0.0038 	0.0000 	-0.0045 	0.0000 	0.0045 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0001 	0.0005 	-0.0006 	0.0000 	0.0000 	0.0000 	0.0000 	-8.1151 	-22.2150 	30.3301 	0.0000 	-0.0002 	-0.0010 	0.0012 	-8.1151 	-22.2150 	30.3301 	0.0000 	0.0013 	-0.0025 	0.0012 	23.2481 	-86.7292 	63.4811 	0.0000 	0.0015 	-0.0030 	0.0015 	23.2521 	-86.7291 	63.4769 
-0.0004 	-0.0042 	0.0046 	-0.0007 	-0.0047 	0.0000 	0.0054 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0002 	0.0004 	-0.0007 	0.0000 	0.0000 	0.0000 	0.0000 	-13.8778 	-17.4574 	31.3352 	0.0000 	-0.0004 	-0.0009 	0.0013 	-13.8778 	-17.4574 	31.3352 	0.0000 	0.0013 	-0.0029 	0.0017 	5.8824 	-80.5311 	74.6487 	0.0000 	0.0013 	-0.0034 	0.0020 	5.8868 	-80.5318 	74.6450 
-0.0011 	-0.0043 	0.0054 	-0.0014 	-0.0048 	0.0000 	0.0062 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0003 	0.0004 	-0.0007 	0.0000 	0.0000 	0.0000 	0.0000 	-19.1071 	-12.0289 	31.1360 	0.0000 	-0.0006 	-0.0007 	0.0014 	-19.1071 	-12.0289 	31.1360 	0.0000 	0.0011 	-0.0032 	0.0021 	-11.7094 	-71.2382 	82.9476 	0.0000 	0.0011 	-0.0037 	0.0026 	-11.7047 	-71.2398 	82.9446 
-0.0018 	-0.0043 	0.0061 	-0.0023 	-0.0046 	0.0000 	0.0069 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0004 	0.0003 	-0.0007 	0.0000 	0.0000 	0.0000 	0.0000 	-23.6021 	-6.1381 	29.7402 	0.0000 	-0.0008 	-0.0005 	0.0014 	-23.6021 	-6.1381 	29.7402 	0.0000 	0.0008 	-0.0035 	0.0026 	-28.8512 	-59.2076 	88.0588 	0.0000 	0.0008 	-0.0039 	0.0031 	-28.8464 	-59.2101 	88.0566 
-0.0026 	-0.0041 	0.0067 	-0.0032 	-0.0043 	0.0000 	0.0075 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0005 	0.0002 	-0.0007 	0.0000 	0.0000 	0.0000 	0.0000 	-27.1899 	-0.0115 	27.2014 	0.0000 	-0.0010 	-0.0003 	0.0014 	-27.1899 	-0.0115 	27.2014 	0.0000 	0.0005 	-0.0036 	0.0031 	-44.8843 	-44.9017 	89.7860 	0.0000 	0.0004 	-0.0040 	0.0036 	-44.8796 	-44.9050 	89.7846 
-0.0034 	-0.0038 	0.0072 	-0.0041 	-0.0039 	0.0000 	0.0080 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0006 	0.0001 	-0.0006 	0.0000 	0.0000 	0.0000 	0.0000 	-29.7328 	6.1156 	23.6172 	0.0000 	-0.0012 	-0.0001 	0.0013 	-29.7328 	6.1156 	23.6172 	0.0000 	0.0001 	-0.0037 	0.0035 	-59.1924 	-28.8703 	88.0627 	0.0000 	-0.0001 	-0.0040 	0.0040 	-59.1881 	-28.8742 	88.0623 
